,Proton Number,Nucleon Number,Binding Energy
107,5.0,21,0.08465869146499827
108,6.0,21,0.11638100000000051
109,7.0,21,0.135781469537001
110,8.0,21,0.15194224341199813
111,9.0,21,0.15904758061699908
112,10.0,21,0.16372873626499285
113,11.0,21,0.15918369867099713
114,12.0,21,0.14510193371600266
115,13.0,21,0.12792465799999775
116,6.0,22,0.11641723530999926
117,7.0,22,0.13725204534199875
118,8.0,22,0.15872189233599698
119,9.0,22,0.16420810602799918
120,10.0,22,0.17402045979699565
121,11.0,22,0.17017864374299663
122,12.0,22,0.16439977419299723
123,13.0,22,0.14480825999999425
124,14.0,22,0.12837786599999745
125,6.0,23,0.11386341000000044
126,7.0,23,0.14029904899999934
127,8.0,23,0.16138638533399785
128,9.0,23,0.17171647937500012
129,10.0,23,0.17915131144499696
130,11.0,23,0.1825247985045486
131,12.0,23,0.1774707719919988
132,13.0,23,0.164255509218993
133,14.0,23,0.14606305899999583
134,7.0,24,0.1380869099999984
135,8.0,24,0.16550940899999844
136,9.0,24,0.17545948652999854
137,10.0,24,0.18794848578099277
138,11.0,24,0.1894134358279942
139,12.0,24,0.193926187540999
140,13.0,24,0.1790487862619976
141,14.0,24,0.16726051466999792
142,15.0,24,0.142998017999993
143,7.0,25,0.13704689999999786
144,8.0,25,0.16468546641099735
145,9.0,25,0.17967184616300003
146,10.0,25,0.1920344239929932
147,11.0,25,0.1983528502059997
148,12.0,25,0.2011857846539975
149,13.0,25,0.19591124525199533
150,14.0,25,0.1821747090619965
151,15.0,25,0.1648205749999967
152,8.0,26,0.16535734569499638
153,9.0,26,0.18033525148499763
154,10.0,26,0.1975191422239959
155,11.0,26,0.2038571417809969
156,12.0,26,0.21220594306799967
157,13.0,26,0.20720366344399466
158,14.0,26,0.20113721544199947
159,15.0,26,0.18203281999999277
160,16.0,26,0.16433440399999455
161,8.0,27,0.16335389499999664
162,9.0,27,0.18187985389299755
163,10.0,27,0.19895283087799598
164,11.0,27,0.21051486415199605
165,12.0,27,0.21857885764299922
166,13.0,27,0.220187742151996
167,14.0,27,0.21437793640299674
168,15.0,27,0.20165868343099547
169,16.0,27,0.1825186129999956
170,8.0,28,0.16394778999999815
171,9.0,28,0.18161392291199618
172,10.0,28,0.2027062559229975
173,11.0,28,0.21398779099999743
174,12.0,28,0.22701197839399967
175,13.0,28,0.22784178162099522
176,14.0,28,0.23148139645497778
177,15.0,28,0.21614406573999645
178,16.0,28,0.20392895857799687
179,17.0,28,0.1787450809999953
180,9.0,29,0.18287110699999687
181,10.0,29,0.20360995699999407
182,11.0,29,0.2183214282789976
183,12.0,29,0.23060673124699704
184,13.0,29,0.23719810431599342
185,14.0,29,0.23988346749945677
186,15.0,29,0.2339438573919992
187,16.0,29,0.21909278199999704
188,17.0,29,0.20098565699999682
189,18.0,29,0.17605150900000055
190,9.0,30,0.1820657089999962
191,10.0,30,0.206732229214996
192,11.0,30,0.22052982623899808
193,12.0,30,0.23687666232599724
194,13.0,30,0.24285570179899452
195,14.0,30,0.2504200024529979
196,15.0,30,0.24519014080999568
197,16.0,30,0.23805179712999802
198,17.0,30,0.2183279319769973
199,18.0,30,0.19994088600000026
200,9.0,31,0.18218758699999782
201,10.0,31,0.2068349463039958
202,11.0,31,0.22476046512599623
203,12.0,31,0.2391204960079989
204,13.0,31,0.24994277902599293
205,14.0,31,0.2569368645239969
206,15.0,31,0.2574275801599164
207,16.0,31,0.25103243113799323
208,17.0,31,0.23803082169299827
209,18.0,31,0.21868090199999912
210,19.0,31,0.19475781999999597
211,10.0,32,0.2090206799999912
212,11.0,32,0.22636973665600024
213,12.0,32,0.24482846152199755
214,13.0,32,0.25409348132199483
215,14.0,32,0.26606491812199806
216,15.0,32,0.2652919843669963
217,16.0,32,0.26600173743425515
218,17.0,32,0.25232763274499703
219,18.0,32,0.24019918585599953
220,19.0,32,0.21502188299999503
221,10.0,33,0.20789408699999612
222,11.0,33,0.22923250099999848
223,12.0,33,0.24703976047799614
224,13.0,33,0.25949287526499276
225,14.0,33,0.270503446515999
226,15.0,33,0.27532338074799156
227,16.0,33,0.27457175607477424
228,17.0,33,0.26799219917199935
229,18.0,33,0.25537931760500143
230,19.0,33,0.23746355499999794
231,20.0,33,0.21298652799999473
232,10.0,34,0.20918623199999686
233,11.0,34,0.22933668999999668
234,12.0,34,0.25168109139499606
235,13.0,34,0.26199602875599837
236,14.0,34,0.2779810801049969
237,15.0,34,0.28153568013399166
238,16.0,34,0.2859158127589936
239,17.0,34,0.2794271218099986
240,18.0,34,0.2723685443480015
241,19.0,34,0.2542196099999927
242,20.0,34,0.23711796499999593
243,11.0,35,0.2311883659999978
244,12.0,35,0.2523685099999895
245,13.0,35,0.2672236113039972
246,14.0,35,0.2803838466589994
247,15.0,35,0.2898446241049939
248,16.0,35,0.29283090914899645
249,17.0,35,0.2919981418859976
250,18.0,35,0.28503506361099795
